movie_id,company_id,company
36334,306,"Twentieth Century Fox Film Corporation"
48392,17513,"Film i Väst"
48392,17516,"Nordisk Film"
50647,7295,"Relativity Media"
85293,441,"Columbia Pictures Corporation"
43598,6194,"Warner Bros."
83666,10146,"Focus Features"
103269,429,"DC Comics"
103269,2785,"Warner Bros. Animation"
80151,1314,"Hammer Film Productions"
13640,429,"DC Comics"
37000,6916,"Arte France Cinéma"
25564,4,"Paramount Pictures"
49014,83,"France 2 Cinéma"
49014,806,"Téléfilm Canada"
49014,2683,"Rai Cinema"
49014,5358,Canal+
72358,4,"Paramount Pictures"
72358,27,"DreamWorks SKG"
109018,8411,"Metro-Goldwyn-Mayer (MGM)"
64456,4,"Paramount Pictures"
68818,6639,"Televisión Española (TVE)"
68818,9335,"Canal+ España"
22855,429,"DC Comics"
62177,2,"Walt Disney Pictures"
62177,3,"Pixar Animation Studios"
63193,4056,"Hallmark Entertainment"
13761,2,"Walt Disney Pictures"
86467,2683,"Rai Cinema"
76494,1632,Lionsgate
72331,306,"Twentieth Century Fox Film Corporation"
81115,4,"Paramount Pictures"
92352,6194,"Warner Bros."
173891,8411,"Metro-Goldwyn-Mayer (MGM)"
40171,7036,"CJ Entertainment"
86157,10845,Lenfilm
80585,12,"New Line Cinema"
88005,10146,"Focus Features"
13042,3,"Pixar Animation Studios"
13932,2,"Walt Disney Pictures"
13932,3,"Pixar Animation Studios"
13062,2,"Walt Disney Pictures"
13062,3,"Pixar Animation Studios"
13933,3,"Pixar Animation Studios"
72105,33,"Universal Pictures"
13927,3,"Pixar Animation Studios"
83770,83,"France 2 Cinéma"
83770,5358,Canal+
83770,9349,Film4
83770,10611,Ciné+
76333,9335,"Canal+ España"
1930,5,"Columbia Pictures"
86985,76,"Zentropa Entertainments"
38728,955,Nikkatsu
23823,491,"Summit Entertainment"
173580,8411,"Metro-Goldwyn-Mayer (MGM)"
98548,27,"DreamWorks SKG"
98548,9195,"Touchstone Pictures"
86664,955,Nikkatsu
71722,955,Nikkatsu
99934,8411,"Metro-Goldwyn-Mayer (MGM)"
82525,7295,"Relativity Media"
13926,3,"Pixar Animation Studios"
59706,4395,"Monogram Pictures"
13929,3,"Pixar Animation Studios"
32050,33,"Universal Pictures"
80035,306,"Twentieth Century Fox Film Corporation"
80035,444,"Dune Entertainment"
93676,2683,"Rai Cinema"
44125,328,"TLA Releasing"
78571,10146,"Focus Features"
16716,31060,"Hallmark Entertainment"
13928,3,"Pixar Animation Studios"
13930,3,"Pixar Animation Studios"
103332,43,"Fox Searchlight Pictures"
64635,5,"Columbia Pictures"
32171,882,"Toho Company"
103747,856,"Wild Bunch"
8736,6896,EuropaCorp
68143,6,"RKO Radio Pictures"
58159,3166,"Walt Disney Productions"
100683,1885,"Silver Pictures"
37724,5,"Columbia Pictures"
20106,9,Gaumont
20106,3823,"TF1 Films Production"
20106,5358,Canal+
63988,925,"Nu Image Films"
77953,6194,"Warner Bros."
82696,5,"Columbia Pictures"
82696,8411,"Metro-Goldwyn-Mayer (MGM)"
70872,881,"Daiei Studios"
20499,925,"Nu Image Films"
20499,10254,"Millennium Films"
100910,6,"RKO Radio Pictures"
8266,3823,"TF1 Films Production"
8266,5358,Canal+
8266,6301,CinéCinéma
314070,441,"Columbia Pictures Corporation"
50696,955,Nikkatsu
43121,882,"Toho Company"
71719,955,Nikkatsu
95506,955,Nikkatsu
77174,10146,"Focus Features"
82650,711,"Fox 2000 Pictures"
121210,850,Eurimages
121210,5358,Canal+
109584,288,"BBC Films"
83539,5120,Mosfilm
101482,33,"Universal Pictures"
42152,4606,"Zweites Deutsches Fernsehen (ZDF)"
71864,2,"Walt Disney Pictures"
82633,308,"The Weinstein Company"
71668,7405,"Dimension Films"
48034,1115,"M6 Films"
48034,6896,EuropaCorp
79694,694,StudioCanal
79694,6194,"Warner Bros."
376394,3324,"British Broadcasting Corporation (BBC)"
27349,33,"Universal Pictures"
77948,491,"Summit Entertainment"
46493,882,"Toho Company"
112090,1632,Lionsgate
37661,4056,"Hallmark Entertainment"
67166,2,"Walt Disney Pictures"
87428,5,"Columbia Pictures"
87428,7295,"Relativity Media"
26505,3823,"TF1 Films Production"
26505,5358,Canal+
26505,6896,EuropaCorp
71827,882,"Toho Company"
87825,6194,"Warner Bros."
88075,6,"RKO Radio Pictures"
89455,288,"BBC Films"
148857,4606,"Zweites Deutsches Fernsehen (ZDF)"
43599,3245,"First National Pictures"
100529,43,"Fox Searchlight Pictures"
68722,308,"The Weinstein Company"
60599,1632,Lionsgate
129535,6,"RKO Radio Pictures"
64454,4606,"Zweites Deutsches Fernsehen (ZDF)"
4822,8411,"Metro-Goldwyn-Mayer (MGM)"
112973,1382,"PolyGram Filmed Entertainment"
52432,4,"Paramount Pictures"
47462,328,"TLA Releasing"
84892,491,"Summit Entertainment"
103663,76,"Zentropa Entertainments"
103663,850,Eurimages
103328,5358,Canal+
88036,559,"TriStar Pictures"
75638,9335,"Canal+ España"
75638,10254,"Millennium Films"
82675,306,"Twentieth Century Fox Film Corporation"
82675,1115,"M6 Films"
82675,5358,Canal+
82675,6896,EuropaCorp
82675,10611,Ciné+
82390,925,"Nu Image Films"
82390,10254,"Millennium Films"
88273,76,"Zentropa Entertainments"
88273,6417,"Film i Väst"
82505,7295,"Relativity Media"
77462,9,Gaumont
77462,83,"France 2 Cinéma"
77462,5358,Canal+
85735,5358,Canal+
85735,6896,EuropaCorp
85735,15671,"France 2 Cinéma"
83801,5358,Canal+
168217,5488,"Fox Film Corporation"
101731,97,"Castle Rock Entertainment"
82096,8411,"Metro-Goldwyn-Mayer (MGM)"
97365,83,"France 2 Cinéma"
97365,5358,Canal+
97365,10611,Ciné+
131360,5488,"Fox Film Corporation"
124597,5070,"Shôchiku Eiga"
42628,5070,"Shôchiku Eiga"
41996,364,"The Rank Organisation"
70667,6417,"Film i Väst"
101267,4,"Paramount Pictures"
101267,23,"Imagine Entertainment"
130717,33,"Universal Pictures"
57230,5120,Mosfilm
71720,955,Nikkatsu
53898,441,"Columbia Pictures Corporation"
170517,6194,"Warner Bros."
110336,9266,"American International Pictures (AIP)"
15004,4,"Paramount Pictures"
151232,3823,"TF1 Films Production"
82507,3172,"Blumhouse Productions"
64291,364,"The Rank Organisation"
76492,5,"Columbia Pictures"
283101,694,StudioCanal
283101,3324,"British Broadcasting Corporation (BBC)"
33390,306,"Twentieth Century Fox Film Corporation"
33391,5488,"Fox Film Corporation"
39062,33,"Universal Pictures"
39062,10210,"Morgan Creek Productions"
71723,955,Nikkatsu
34078,9266,"American International Pictures (AIP)"
68734,6194,"Warner Bros."
86838,9349,Film4
109843,288,"BBC Films"
72391,508,"Regency Enterprises"
84284,3324,"British Broadcasting Corporation (BBC)"
84284,4606,"Zweites Deutsches Fernsehen (ZDF)"
89723,306,"Twentieth Century Fox Film Corporation"
108512,5070,"Shôchiku Eiga"
55327,201,Arte
50845,83,"France 2 Cinéma"
95508,955,Nikkatsu
110525,306,"Twentieth Century Fox Film Corporation"
99770,83,"France 2 Cinéma"
99770,591,"France 3 Cinéma"
99770,856,"Wild Bunch"
72479,6194,"Warner Bros."
106016,6,"RKO Radio Pictures"
43172,6,"RKO Radio Pictures"
9736,694,StudioCanal
9736,15671,"France 2 Cinéma"
82990,4,"Paramount Pictures"
82990,3172,"Blumhouse Productions"
59897,559,"TriStar Pictures"
98066,3172,"Blumhouse Productions"
94348,491,"Summit Entertainment"
133557,3268,"Home Box Office (HBO)"
133557,3324,"British Broadcasting Corporation (BBC)"
24863,6,"RKO Radio Pictures"
149763,6194,"Warner Bros."
86983,17513,"Film i Väst"
41530,76,"Zentropa Entertainments"
41530,850,Eurimages
37635,60,"United Artists"
128158,94,"ARTE France Cinéma"
82684,711,"Fox 2000 Pictures"
87826,5,"Columbia Pictures"
84287,9349,Film4
56558,306,"Twentieth Century Fox Film Corporation"
39814,288,"BBC Films"
82693,308,"The Weinstein Company"
87502,4,"Paramount Pictures"
96724,33,"Universal Pictures"
96724,10146,"Focus Features"
96724,10163,"Working Title Films"
87827,444,"Dune Entertainment"
87827,711,"Fox 2000 Pictures"
74545,6,"RKO Radio Pictures"
125623,591,"France 3 Cinéma"
133458,6181,"Svensk Filmindustri (SF)"
79070,5358,Canal+
79070,18367,"Centre National de la Cinématographie (CNC)"
79070,23616,Ciné+
110540,6,"RKO Radio Pictures"
77878,5358,Canal+
88564,5120,Mosfilm
127493,925,"Nu Image Films"
127493,10254,"Millennium Films"
62580,3823,"TF1 Films Production"
62580,5358,Canal+
62580,6301,CinéCinéma
62580,7981,Pathé
20528,882,"Toho Company"
19794,10254,"Millennium Films"
123025,429,"DC Comics"
123025,2785,"Warner Bros. Animation"
121793,83,"France 2 Cinéma"
82911,7429,"HBO Films"
72976,56,"Amblin Entertainment"
72976,306,"Twentieth Century Fox Film Corporation"
72976,444,"Dune Entertainment"
137429,3245,"First National Pictures"
137429,6194,"Warner Bros."
68280,694,StudioCanal
68280,15671,"France 2 Cinéma"
110253,8411,"Metro-Goldwyn-Mayer (MGM)"
37343,1314,"Hammer Film Productions"
84288,5358,Canal+
51956,8411,"Metro-Goldwyn-Mayer (MGM)"
50620,491,"Summit Entertainment"
120676,8411,"Metro-Goldwyn-Mayer (MGM)"
25746,5070,"Shôchiku Eiga"
49363,882,"Toho Company"
13678,3823,"TF1 Films Production"
13678,5358,Canal+
13728,83,"France 2 Cinéma"
50675,3245,"First National Pictures"
50675,6194,"Warner Bros."
32070,1314,"Hammer Film Productions"
97614,694,StudioCanal
98536,6194,"Warner Bros."
245984,6194,"Warner Bros."
83098,8411,"Metro-Goldwyn-Mayer (MGM)"
43363,8411,"Metro-Goldwyn-Mayer (MGM)"
51389,8411,"Metro-Goldwyn-Mayer (MGM)"
249264,8411,"Metro-Goldwyn-Mayer (MGM)"
16016,235,"Nordisk Film"
85446,491,"Summit Entertainment"
89702,8411,"Metro-Goldwyn-Mayer (MGM)"
62069,17513,"Film i Väst"
70584,7405,"Dimension Films"
62720,6194,"Warner Bros."
144784,6,"RKO Radio Pictures"
38716,306,"Twentieth Century Fox Film Corporation"
80440,856,"Wild Bunch"
229610,6,"RKO Radio Pictures"
10792,9,Gaumont
140420,2,"Walt Disney Pictures"
220106,6301,CinéCinéma
26152,856,"Wild Bunch"
26152,3823,"TF1 Films Production"
232005,3324,"British Broadcasting Corporation (BBC)"
49522,288,"BBC Films"
294261,3268,"Home Box Office (HBO)"
112336,43,"Fox Searchlight Pictures"
112336,444,"Dune Entertainment"
259292,6,"RKO Radio Pictures"
43157,306,"Twentieth Century Fox Film Corporation"
97598,8411,"Metro-Goldwyn-Mayer (MGM)"
37032,5798,"Shaw Brothers"
147829,8411,"Metro-Goldwyn-Mayer (MGM)"
88284,4606,"Zweites Deutsches Fernsehen (ZDF)"
88284,5766,ARTE
38769,306,"Twentieth Century Fox Film Corporation"
200447,60,"United Artists"
77012,306,"Twentieth Century Fox Film Corporation"
49051,12,"New Line Cinema"
49051,8411,"Metro-Goldwyn-Mayer (MGM)"
84305,10146,"Focus Features"
18725,7405,"Dimension Films"
40004,3823,"TF1 Films Production"
76609,83,"France 2 Cinéma"
8941,5358,Canal+
8941,6301,CinéCinéma
8941,18367,"Centre National de la Cinématographie (CNC)"
138357,8411,"Metro-Goldwyn-Mayer (MGM)"
97630,5,"Columbia Pictures"
125490,7320,"Telefilm Canada"
37653,5358,Canal+
82654,491,"Summit Entertainment"
16221,882,"Toho Company"
38414,83,"France 2 Cinéma"
38414,1115,"M6 Films"
19099,5358,Canal+
19099,15671,"France 2 Cinéma"
85542,6417,"Film i Väst"
46280,850,Eurimages
46280,5358,Canal+
46280,18367,"Centre National de la Cinématographie (CNC)"
77875,10254,"Millennium Films"
43268,306,"Twentieth Century Fox Film Corporation"
13471,5358,Canal+
13471,6301,CinéCinéma
13471,7981,Pathé
82687,4,"Paramount Pictures"
75780,4,"Paramount Pictures"
68718,5,"Columbia Pictures"
68718,308,"The Weinstein Company"
80278,491,"Summit Entertainment"
80278,9335,"Canal+ España"
82695,33,"Universal Pictures"
82695,7295,"Relativity Media"
82695,10163,"Working Title Films"
114104,6194,"Warner Bros."
78550,33,"Universal Pictures"
121826,288,"BBC Films"
63517,3324,"British Broadcasting Corporation (BBC)"
22752,6,"RKO Radio Pictures"
135390,6181,"Svensk Filmindustri (SF)"
46159,5488,"Fox Film Corporation"
27597,306,"Twentieth Century Fox Film Corporation"
38727,306,"Twentieth Century Fox Film Corporation"
31551,882,"Toho Company"
242378,6194,"Warner Bros."
235271,1632,Lionsgate
41592,288,"BBC Films"
74726,6639,"Televisión Española (TVE)"
88042,306,"Twentieth Century Fox Film Corporation"
88042,444,"Dune Entertainment"
94135,1314,"Hammer Film Productions"
77775,306,"Twentieth Century Fox Film Corporation"
57307,5358,Canal+
35436,83,"France 2 Cinéma"
35436,694,StudioCanal
127533,6194,"Warner Bros."
132654,306,"Twentieth Century Fox Film Corporation"
98262,6,"RKO Radio Pictures"
50021,6417,"Film i Väst"
133694,10146,"Focus Features"
169836,7025,"Westdeutscher Rundfunk (WDR)"
71208,328,"TLA Releasing"
38010,7036,"CJ Entertainment"
36257,56,"Amblin Entertainment"
36257,2785,"Warner Bros. Animation"
87531,8411,"Metro-Goldwyn-Mayer (MGM)"
151826,15671,"France 2 Cinéma"
151826,16804,"France 3 Cinema"
151826,18367,"Centre National de la Cinématographie (CNC)"
4171,3823,"TF1 Films Production"
44668,3245,"First National Pictures"
76617,925,"Nu Image Films"
82682,79,"Village Roadshow Pictures"
82682,6194,"Warner Bros."
68812,10254,"Millennium Films"
46953,235,"Nordisk Film"
79528,5996,BBC
142061,429,"DC Comics"
142061,2785,"Warner Bros. Animation"
103740,591,"France 3 Cinéma"
103740,850,Eurimages
103740,856,"Wild Bunch"
103740,5358,Canal+
103740,10611,Ciné+
103740,18367,"Centre National de la Cinématographie (CNC)"
115223,33,"Universal Pictures"
88557,33,"Universal Pictures"
53445,9349,Film4
102000,850,Eurimages
102000,5358,Canal+
102000,10611,Ciné+
102000,18367,"Centre National de la Cinématographie (CNC)"
33331,3166,"Walt Disney Productions"
132232,33,"Universal Pictures"
152570,8411,"Metro-Goldwyn-Mayer (MGM)"
98357,508,"Regency Enterprises"
98357,10104,"New Regency Pictures"
84336,288,"BBC Films"
52480,33,"Universal Pictures"
71768,441,"Columbia Pictures Corporation"
77117,7036,"CJ Entertainment"
94047,7036,"CJ Entertainment"
85872,9,Gaumont
87818,7295,"Relativity Media"
160989,5358,Canal+
160989,18367,"Centre National de la Cinématographie (CNC)"
117974,694,StudioCanal
117974,9349,Film4
60304,4,"Paramount Pictures"
60304,8411,"Metro-Goldwyn-Mayer (MGM)"
129728,6417,"Film i Väst"
19336,882,"Toho Company"
74397,4,"Paramount Pictures"
51071,6896,EuropaCorp
76848,6181,"Svensk Filmindustri (SF)"
50076,441,"Columbia Pictures Corporation"
172003,5766,ARTE
127864,850,Eurimages
127864,6639,"Televisión Española (TVE)"
127864,6916,"Arte France Cinéma"
127864,9335,"Canal+ España"
57436,17516,"Nordisk Film"
58244,45970,"France 2 Cinéma"
