movie_id,director
40916,"Norman Taurog"
9688,"Woody Allen"
84298,"John Ford"
76499,"Howard Hawks"
43865,"King Vidor"
93313,"Howard Hawks"
26038,"Henry Hathaway"
43029,"Vincente Minnelli"
5996,"Michael Curtiz"
24964,"Michael Apted"
24182,"Mario Monicelli"
37512,"Rainer Werner Fassbinder"
43824,"Mervyn LeRoy"
42260,"Rainer Werner Fassbinder"
775,"Georges Méliès"
45267,"Mario Monicelli"
84087,"Mervyn LeRoy"
20187,"Clint Eastwood"
20628,"Gordon Douglas"
43881,"W.S. Van Dyke"
16902,"Michael Curtiz"
48993,"Clarence Brown"
31819,"Charlie Chaplin"
11605,"John Huston"
31200,"Michael Apted"
100605,"John Ford"
11620,"Mervyn LeRoy"
11620,"Anthony Mann"
76094,"Henry Hathaway"
33908,"Takashi Miike"
28000,"Robert Wise"
22968,"Vincente Minnelli"
20914,"Mario Monicelli"
43809,"Norman Taurog"
74,"Steven Spielberg"
55650,"Ingmar Bergman"
17599,"Robert Wise"
43367,"Howard Hawks"
54139,"Henry Hathaway"
501,"Werner Herzog"
14674,"Anthony Mann"
94529,"Henry Koster"
51277,"Henry Hathaway"
10319,"Werner Herzog"
30941,"Sidney Lumet"
43807,"Anatole Litvak"
19082,"Martin Scorsese"
3527,"Wim Wenders"
26845,"W.S. Van Dyke"
42000,"Takashi Miike"
47473,"Ingmar Bergman"
44163,"Yasujirō Ozu"
116,"Woody Allen"
43176,"Vincente Minnelli"
43176,"Roy Del Ruth"
84090,"King Vidor"
21454,"Henry Hathaway"
35896,"King Vidor"
43812,"Lloyd Bacon"
17382,"Raoul Walsh"
612,"Steven Spielberg"
20530,"Yasujirō Ozu"
43899,"George Cukor"
72856,"King Vidor"
27622,"George Cukor"
27344,"Roger Corman"
28638,"Takashi Miike"
34187,"Frank Capra"
27629,"Frank Capra"
37631,"Mervyn LeRoy"
42328,"Edward Dmytryk"
23965,"Werner Herzog"
113479,"Jean-Luc Godard"
20442,"Anthony Mann"
9950,"Sidney Lumet"
388,"Spike Lee"
55676,"Martin Scorsese"
46828,"Blake Edwards"
49361,"Lucio Fulci"
34732,"Gordon Douglas"
8410,"Werner Herzog"
51311,"Werner Herzog"
1629,"Jean-Luc Godard"
9526,"Robert Altman"
19661,"Edward Dmytryk"
31506,"Fritz Lang"
42512,"Fritz Lang"
560,"Fritz Lang"
28432,"Lloyd Bacon"
20330,"Fritz Lang"
25563,"Michael Curtiz"
25563,"Lloyd Bacon"
43147,"Roy Del Ruth"
51303,"Buster Keaton"
36576,"Blake Edwards"
10308,"Rainer Werner Fassbinder"
35955,"Anthony Mann"
72881,"John Frankenheimer"
31915,"John Frankenheimer"
45817,"John Huston"
43838,"John Ford"
76344,"Robert Wise"
42636,"Gordon Douglas"
512,"Woody Allen"
43597,"Roy Del Ruth"
77250,"John Ford"
63618,"Edward Dmytryk"
35921,"Richard Fleischer"
59964,"Vincente Minnelli"
33813,"Robert Wise"
33792,"Frank Capra"
51601,"Lloyd Bacon"
34006,"Lloyd Bacon"
29966,"Robert Wise"
31148,"Anatole Litvak"
52859,"John Ford"
390,"Wim Wenders"
66487,"Robert Altman"
1595,"Wim Wenders"
65488,"Edward Dmytryk"
1422,"Martin Scorsese"
43847,"W.S. Van Dyke"
77198,"Frank Capra"
3683,"Clint Eastwood"
78507,"Fritz Lang"
43884,"Michael Curtiz"
24553,"Spike Lee"
67880,"Michael Curtiz"
42822,"Michael Curtiz"
47156,"W.S. Van Dyke"
55819,"Sidney Lumet"
46948,"Sidney Lumet"
58923,"Spike Lee"
7736,"Rainer Werner Fassbinder"
10462,"Woody Allen"
1251,"Clint Eastwood"
43512,"Norman Taurog"
2204,"Wim Wenders"
1773,"Frank Capra"
11578,"Julien Duvivier"
11972,"Julien Duvivier"
13365,"Michael Apted"
51863,"Michael Apted"
50754,"Michael Apted"
74126,"Yasujirō Ozu"
56165,"William Beaudine"
12580,"Takashi Miike"
42630,"Gordon Douglas"
15163,"Michael Apted"
64142,"Henry Koster"
25105,"Henry Koster"
47837,"Sidney Lumet"
27263,"Anthony Mann"
33673,"Richard Fleischer"
23024,"John Ford"
47848,"Dino Risi"
32627,"John Huston"
30307,"Edward Dmytryk"
28304,"Anthony Mann"
20553,"Michael Apted"
31866,"George Cukor"
55823,"Mario Monicelli"
9952,"Werner Herzog"
32004,"King Vidor"
17660,"Michael Curtiz"
42700,"Anatole Litvak"
12713,"Claude Chabrol"
27464,"Robert Altman"
63096,"Vincente Minnelli"
19968,"Mervyn LeRoy"
81847,"Howard Hawks"
43898,"Henry Hathaway"
2701,"Joseph Sargent"
37954,"Michael Curtiz"
84567,"Richard Fleischer"
20646,"Takashi Miike"
27419,"Claude Chabrol"
33931,"Michael Curtiz"
7972,"Sidney Lumet"
37368,"John Ford"
48267,"Rainer Werner Fassbinder"
43308,"Henry Hathaway"
55192,"Yasujirō Ozu"
28272,"Yasujirō Ozu"
4787,"Woody Allen"
43604,"Howard Hawks"
43604,"William A. Wellman"
71068,"John Ford"
111747,"John Ford"
32716,"John Ford"
10834,"Wim Wenders"
53094,"Rainer Werner Fassbinder"
77245,"John Ford"
13315,"Takashi Miike"
95169,"John Ford"
113788,"John Ford"
94009,"John Ford"
72602,"John Ford"
117001,"John Ford"
33034,"George Cukor"
72608,"John Ford"
29369,"Jean-Luc Godard"
36223,"Takashi Miike"
7944,"Martin Scorsese"
38661,"William A. Wellman"
38661,"Richard Thorpe"
40044,"Richard Thorpe"
40214,"Richard Thorpe"
40045,"Richard Thorpe"
217,"Steven Spielberg"
43145,"George Cukor"
29377,"William A. Wellman"
50231,"Mervyn LeRoy"
37626,"J. Lee Thompson"
46189,"John Ford"
